Date Sampled,Address,1st Draw,2-3 Minute,5 Minute
2/26/2019,103XX S ARTESIAN AVE,< 1,< 1,< 1
7/13/2019,103XX S ARTESIAN AVE,3.3,6.9,6.3
5/20/2020,103XX S ARTESIAN AVE,3,9.5,4.4
12/9/2018,103XX S AVENUE G,2.2,4.8,1.9
7/28/2019,103XX S AVENUE N,3.3,5.4,1.5
11/5/2019,103XX S AVENUE N,12,6.9,2.1
1/10/2021,103XX S AVENUE N,3.3,7.4,1.4
12/4/2019,103XX S AVENUE O,3.1,6.1,2.3
7/2/2018,103XX S BELL AVE,1.3,1.6,1.5
8/8/2019,103XX S BELL AVE,9.9,6.6,6.6
9/29/2019,103XX S BELL AVE,3.3,5.5,3.3
5/11/2021,103XX S BELL AVE,1.1,4.4,1
3/8/2019,103XX S BENSLEY AVE,1.2,< 1,< 1
9/16/2019,103XX S CALHOUN AVE,1.1,7.6,2.1
6/16/2018,103XX S CALIFORNIA AVE,1.1,1.2,1.2
8/7/2018,103XX S CALIFORNIA AVE,< 1,< 1,< 1
4/13/2019,103XX S CALIFORNIA AVE,1.1,3,1.7
3/31/2019,103XX S CAMPBELL AVE,1.2,2.3,< 1
11/30/2019,103XX S CAMPBELL AVE,2.1,3.4,1.3
3/23/2019,103XX S CENTRAL PARK AVE,2.6,4.8,< 1
8/9/2019,103XX S CENTRAL PARK AVE,2.6,5.2,2.1
8/18/2019,103XX S CENTRAL PARK AVE,3.6,1.8,1.8
6/30/2018,103XX S CHRISTIANA AVE,4.5,7,2.8
7/23/2018,103XX S CHRISTIANA AVE,2.8,14,2.9
11/6/2019,103XX S CLAREMONT AVE,3.4,6.8,7.3
10/11/2021,103XX S CLAREMONT AVE ,1.6,1.6,1
7/5/2019,103XX S COTTAGE GROVE AVE,3.8,4.4,2.5
6/5/2018,103XX S CRANDON AVE,4.7,5.2,4.1
10/8/2019,103XX S CRANDON AVE,2.6,6.7,1.9
6/18/2021,103XX S DR MARTIN LUTHER KING JR DR,2.4,< 1,< 1
3/10/2019,103XX S DRAKE AVE,2.6,4.2,< 1
4/23/2019,103XX S DRAKE AVE,4.2,1.8,1.1
8/8/2019,103XX S DRAKE AVE,2.8,6.6,1.7
9/8/2019,103XX S DRAKE AVE,7.3,8.9,1.9
3/29/2019,103XX S EBERHART AVE,2.7,2.5,1.4
9/20/2021,103XX S EBERHART AVE ,2.3,2.9,2.2
8/8/2019,103XX S EMERALD AVE,3.3,12,4.6
2/11/2019,103XX S FAIRFIELD AVE,4,3,2.7
7/18/2019,103XX S FAIRFIELD AVE,1.9,4.9,2.8
10/15/2019,103XX S FAIRFIELD AVE,5.1,4.9,4
10/24/2019,103XX S FAIRFIELD AVE,2.4,1.8,1.9
7/15/2019,103XX S FOREST AVE,5.8,22,8.2
,103XX S FOREST AVE,Customer declined further testing,,
9/24/2021,103XX S FOREST AVE ,2.4,2.8,1.9
9/16/2019,103XX S GREEN BAY AVE,3.1,6.8,< 1
4/30/2019,103XX S HALE AVE,3.8,2.1,1.8
8/13/2016,103XX S HAMILTON AVE,7.6,16,13
9/28/2016,103XX S HAMILTON AVE,See Follow-Up Sequential Sampling Table for Results,,
