Date Sampled,Address,1st Draw,2-3 Minute,5 Minute,numAddr,geocode
3/23/2022,101XX S LaSalle St,See Follow-Up Sequential Sampling Table for Results,,,10100 S LaSalle St,"[41.879333, -87.6322608]"
2/2/2021,101XX S LEAVITT ST,< 1,1.2,1.3,10100 S LEAVITT ST,"[41.70992135, -87.67731055161298]"
9/26/2021,101XX S LEAVITT ST ,3.5,2.7,2.6,10100 S LEAVITT ST ,"[41.70992135, -87.67731055161298]"
4/3/2022,101XX S LEAVITT ST ,4.8,3.9,4,10100 S LEAVITT ST ,"[41.70992135, -87.67731055161298]"
3/15/2019,101XX S LONGWOOD DR DR,6,4.9,5.8,10100 S LONGWOOD DR DR,"[0, 0]"
10/8/2019,101XX S LUELLA AVE,13,14,13,10100 S LUELLA AVE,"[41.71149345, -87.56844942885724]"
8/5/2021,101XX S LUELLA AVE ,5.8,10,2.6,10100 S LUELLA AVE ,"[41.71149345, -87.56844942885724]"
6/29/2019,101XX S MAPLEWOOD AVE,2.3,2.8,< 1,10100 S MAPLEWOOD AVE,"[41.709871, -87.685549]"
3/17/2019,101XX S MAY ST,2.1,6.6,1.1,10100 S MAY ST,"[41.710344, -87.651548]"
1/25/2017,101XX S MORGAN ST,6.2,7.3,2.2,10100 S MORGAN ST,"[41.7103623, -87.64807851530611]"
9/14/2021,101XX S MORGAN ST ,3.8,4.5,3.9,10100 S MORGAN ST ,"[41.7103623, -87.64807851530611]"
7/27/2021,101XX S NORMAL AVE ,1.7,2,1.4,10100 S NORMAL AVE ,"[41.710539, -87.635755]"
8/24/2019,101XX S OAKLEY AVE,1.2,1.7,8.7,10100 S OAKLEY AVE,"[41.70984005, -87.68062054804516]"
12/10/2019,101XX S OGLESBY AVE,3.4,2,1.7,10100 S OGLESBY AVE,"[41.71152605, -87.56599322965113]"
8/9/2019,101XX S PEORIA ST,4.5,2.1,< 1,10100 S PEORIA ST,"[41.7103589, -87.64566266246386]"
3/2/2020,101XX S PEORIA ST,5.1,6,7.3,10100 S PEORIA ST,"[41.7103589, -87.64566266246386]"
3/2/2020,101XX S Peoria St,5.1,6,7.3,10100 S Peoria St,"[41.7103589, -87.64566266246386]"
6/18/2021,101XX S Peoria St,See Follow-Up Sequential Sampling Table for Results,,,10100 S Peoria St,"[41.7103589, -87.64566266246386]"
7/11/2019,101XX S PERRY ,4,17,5.3,10100 S PERRY ,"[0, 0]"
11/19/2019,101XX S PERRY ,See Follow-Up Sequential Sampling Table for Results,,,10100 S PERRY ,"[0, 0]"
7/10/2016,101XX S PROSPECT AVE,3.4,3.1,2.8,10100 S PROSPECT AVE,"[41.709954, -87.662482]"
12/2/2018,101XX S PROSPECT AVE,7.2,6.1,5.6,10100 S PROSPECT AVE,"[41.709954, -87.662482]"
4/16/2019,101XX S RHODES AVE,4.6,7.2,1.3,10100 S RHODES AVE,"[41.71089095, -87.61047385908083]"
5/2/2019,101XX S RHODES AVE,2.7,5.5,1.1,10100 S RHODES AVE,"[41.71089095, -87.61047385908083]"
9/3/2019,101XX S RHODES AVE,5.6,11,5,10100 S RHODES AVE,"[41.71089095, -87.61047385908083]"
3/6/2019,101XX S SAINT LAWRENCE AVE,6.6,2.5,1.4,10100 S SAINT LAWRENCE AVE,"[41.7109026, -87.60933099657737]"
10/30/2019,101XX S SANGAMON ST,4.5,8.5,3.1,10100 S SANGAMON ST,"[41.710368450000004, -87.64685893910894]"
