"Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","numAddr","geometry"
"9/4/2021","101XX S CARPENTER ST","1.2","1.5","1.4","10100 S CARPENTER ST",c(-77.5194227940673, 40.1121495079312)
"3/19/2019","101XX S CRANDON AVE","1.2","7.2","1.5","10100 S CRANDON AVE",c(-77.5194228016824, 40.1121497331001)
"8/9/2019","101XX S DR MARTIN LUTHER KING JR DR","3.7","14","2.2","10100 S DR MARTIN LUTHER KING JR DR",c(-77.5195843716727, 40.1123852974786)
"10/31/2019","101XX S DR MARTIN LUTHER KING JR DR","23","3.1","1.1","10100 S DR MARTIN LUTHER KING JR DR",c(-77.5195843716727, 40.1123852974786)
"1/8/2020","101XX S DR MARTIN LUTHER KING JR DR","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10100 S DR MARTIN LUTHER KING JR DR",c(-77.5195843716727, 40.1123852974786)
"1/14/2020","101XX S DR MARTIN LUTHER KING JR DR","4.7","8.3","1.1","10100 S DR MARTIN LUTHER KING JR DR",c(-77.5195843716727, 40.1123852974786)
"6/19/2019","101XX S EBERHART","16","9","2.3","10100 S EBERHART",c(-77.5195843716727, 40.1123852974786)
"10/16/2019","101XX S EBERHART","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10100 S EBERHART",c(-77.5195843716727, 40.1123852974786)
"6/16/2018","101XX S EBERHART AVE","1.8","1.1","1.1","10100 S EBERHART AVE",c(-77.5194227976302, 40.1121496111729)
"10/9/2021","101XX S EBERHART AVE","1.9","2.8","1.8","10100 S EBERHART AVE",c(-77.5194227976302, 40.1121496111729)
"7/11/2016","101XX S EMERALD AVE","1.5","1.2","1.2","10100 S EMERALD AVE",c(-77.5194227947709, 40.1121495280014)
"5/9/2019","101XX S EMERALD AVE","1.3","2","1.1","10100 S EMERALD AVE",c(-77.5194227947709, 40.1121495280014)
"2/18/2019","101XX S FAIRFIELD AVE","9.5","9.5","4","10100 S FAIRFIELD AVE",c(-77.5194227900547, 40.1121493949389)
"4/28/2019","101XX S FOREST AVE","5.8","2.9","1.4","10100 S FOREST AVE",c(-77.5194227971936, 40.1121495981923)
"12/19/2019","101XX S FOREST AVE","1.3","< 1","< 1","10100 S FOREST AVE",c(-77.5194227971936, 40.1121495981923)
"7/26/2019","101XX S GREEN ST","3.6","5.5","4","10100 S GREEN ST",c(-77.5194227946044, 40.1121495212278)
"2/21/2019","101XX S HOXIE AVE","1.8","1.6","1.1","10100 S HOXIE AVE",c(-77.5194228021806, 40.1121497495479)
"6/25/2018","101XX S HOYNE AVE","1.4","2.6","3.7","10100 S HOYNE AVE",c(-77.5194227917084, 40.1121494353049)
"5/17/2016","101XX S INDIANA AVE","1.9","1.5","1.4","10100 S INDIANA AVE",c(-77.5194227970375, 40.1121495910356)
"3/9/2018","101XX S INDIANA AVE","3.4","< 1","< 1","10100 S INDIANA AVE",c(-77.5194227970375, 40.1121495910356)
"10/27/2019","101XX S INDIANA AVE","3.8","14","1.7","10100 S INDIANA AVE",c(-77.5194227970375, 40.1121495910356)
"12/1/2019","101XX S INDIANA AVE","3.2","1.8","1.6","10100 S INDIANA AVE",c(-77.5194227970375, 40.1121495910356)
"8/21/2021","101XX S L","4","8.9","7.3","10100 S L",c(-77.5195843716727, 40.1123852974786)
"8/13/2021","101XX S LA SALLE ST","130","3.4","2.5","10100 S LA SALLE ST",c(-77.5194227961635, 40.1121495676668)
"2/25/2019","101XX S LAFAYETTE AVE","4.1","11","1.8","10100 S LAFAYETTE AVE",c(-77.5194227964302, 40.1121495743151)
"8/13/2021","101XX S LaSalle St","130","3.4","2.5","10100 S LaSalle St",c(-77.5194221928946, 40.1121495732789)
"3/23/2022","101XX S LaSalle St","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10100 S LaSalle St",c(-77.5194221928946, 40.1121495732789)
"2/2/2021","101XX S LEAVITT ST","< 1","1.2","1.3","10100 S LEAVITT ST",c(-77.5194227915718, 40.1121494310472)
"9/26/2021","101XX S LEAVITT ST","3.5","2.7","2.6","10100 S LEAVITT ST",c(-77.5194227915718, 40.1121494310472)
"4/3/2022","101XX S LEAVITT ST","4.8","3.9","4","10100 S LEAVITT ST",c(-77.5194227915718, 40.1121494310472)
"3/15/2019","101XX S LONGWOOD DR DR","6","4.9","5.8","10100 S LONGWOOD DR DR",c(-77.5195843716727, 40.1123852974786)
"10/8/2019","101XX S LUELLA AVE","13","14","13","10100 S LUELLA AVE",c(-77.5194228015879, 40.1121497297846)
"8/5/2021","101XX S LUELLA AVE","5.8","10","2.6","10100 S LUELLA AVE",c(-77.5194228015879, 40.1121497297846)
"6/29/2019","101XX S MAPLEWOOD AVE","2.3","2.8","< 1","10100 S MAPLEWOOD AVE",c(-77.5194227905687, 40.1121494084467)
"3/17/2019","101XX S MAY ST","2.1","6.6","1.1","10100 S MAY ST",c(-77.5194227937614, 40.1121495017505)
"1/25/2017","101XX S MORGAN ST","6.2","7.3","2.2","10100 S MORGAN ST",c(-77.5194227941942, 40.112149511268)
"9/14/2021","101XX S MORGAN ST","3.8","4.5","3.9","10100 S MORGAN ST",c(-77.5194227941942, 40.112149511268)
"7/27/2021","101XX S NORMAL AVE","1.7","2","1.4","10100 S NORMAL AVE",c(-77.5194227953326, 40.1121495450861)
"8/24/2019","101XX S OAKLEY AVE","1.2","1.7","8.7","10100 S OAKLEY AVE",c(-77.519422791387, 40.1121494219602)
"12/10/2019","101XX S OGLESBY AVE","3.4","2","1.7","10100 S OGLESBY AVE",c(-77.5194228018241, 40.1121497365246)
"8/9/2019","101XX S PEORIA ST","4.5","2.1","< 1","10100 S PEORIA ST",c(-77.5194227945533, 40.1121495178934)
"3/2/2020","101XX S PEORIA ST","5.1","6","7.3","10100 S PEORIA ST",c(-77.5194227945533, 40.1121495178934)
"3/2/2020","101XX S Peoria St","5.1","6","7.3","10100 S Peoria St",c(-77.5194227945533, 40.1121495178934)
"6/18/2021","101XX S Peoria St","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10100 S Peoria St",c(-77.5194227945533, 40.1121495178934)
"7/11/2019","101XX S PERRY","4","17","5.3","10100 S PERRY",c(-77.5195843716727, 40.1123852974786)
"11/19/2019","101XX S PERRY","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10100 S PERRY",c(-77.5195843716727, 40.1123852974786)
"7/10/2016","101XX S PROSPECT AVE","3.4","3.1","2.8","10100 S PROSPECT AVE",c(-77.5194227935845, 40.1121494717198)
